,PDB ID,Antigen Name,Organism,PDB Name,All PDB ID,Length,Set,Sample weight
29,6o2b_LM,circumsporozoite protein | anti-kappa vhh domain,plasmodium falciparum | lama glama,crystal structure of 4493 fab in complex with circumsporozoite protein dnd and anti-kappa vhh domain,6o2b_LM,61,Fold 1,1.0
30,6xcn_C,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,structure of the sars-cov-2 spike glycoprotein in complex with the c105 neutralizing antibody fab fragment (state 2),6xcn_C,985,Fold 1,0.0017094017094017096
31,7bel_X,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,crystal structure of the receptor binding domain of sars-cov-2 spike glycoprotein in a ternary complex with covox-88 and covox-45 fabs,7bel_X,194,Fold 1,0.0004340277777777778
32,7bej_E,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,crystal structure of the receptor binding domain of sars-cov-2 spike glycoprotein in complex with covox-158 fab (crystal form 1),7bej_E,195,Fold 1,0.0004340277777777778
33,7l2e_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of ntd-directed neutralizing antibody 4-18 in complex with prefusion sars-cov-2 spike glycoprotein,7l2e_A,1119,Fold 1,0.010416666666666666
34,6nb6_B,spike glycoprotein,sars coronavirus,sars-cov complex with human neutralizing s230 antibody fab fragment (state 1),6nb6_B,1026,Fold 1,0.25
35,7dcx_D,sars-cov2 s protein,severe acute respiratory syndrome coronavirus2 ,s-3c1-f3a structure  two rbds are up and one rbd is down  each rbd binds with a 3c1 fab.,7dcx_D,1059,Fold 1,0.006944444444444444
36,6rp8_c,unknown,homo sapiens,crystal structure of ipilimumab fab complexed with ctla-4 at 2.6a resolution,6rp8_c,110,Fold 1,0.2
37,6pzw_C,neuraminidase,influenza a virus(a/environment/shanghai/s1439/2013(h7n9)) ,cryoem derived model of na-22 fab in complex with n9 shanghai2,6pzw_C,388,Fold 1,0.010416666666666666
38,7cah_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,the interface of h014 fab binds to sars-cov-2 s,7cah_A,179,Fold 1,0.0625
39,4ypg_C,interferon alpha-2,homo sapiens,structural insights into the neutralization properties of a human anti-interferon monoclonal antibody,4ypg_C,159,Fold 1,0.03125
40,6x3x_B,gamma-aminobutyric acid receptor subunit alpha-1,homo sapiens,human gabaa receptor alpha1-beta2-gamma2 subtype in complex with gaba plus diazepam,6x3x_B,338,Fold 1,0.05
41,7nd4_C,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,em structure of sars-cov-2 spike glycoprotein in complex with covox-88 fab,7nd4_C,1002,Fold 1,0.0006613756613756612
42,6mhg_E,circumsporozoite protein,plasmodium falciparum,cryo-em structure of the circumsporozoite protein of plasmodium falciparum with a vaccine-elicited antibody reveals maturation of inter-antibody contacts,6mhg_E,90,Fold 1,0.5
43,5x0t_E,basigin,homo sapiens,crystal structure of cd147 c2 domain in complex with fab of its monoclonal antibody 6h8,5x0t_E,78,Fold 1,0.5
44,3ks0_A,cytochrome b2  mitochondrial,saccharomyces cerevisiae,crystal structure of the heme domain of flavocytochrome b2 in complex with fab b2b4,3ks0_A,92,Fold 1,0.5
45,6nb7_A,spike glycoprotein,sars coronavirus,sars-cov complex with human neutralizing s230 antibody fab fragment (state 2),6nb7_A,1049,Fold 1,0.25
46,6vmj_Y,complement factor d,homo sapiens,crystal structure of human complement factor d with anti-factor d fab 20d12,6vmj_Y,228,Fold 1,0.022727272727272728
47,7chh_C,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of the sars-cov-2 s-6p in complex with bd-368-2 fabs,7chh_C,999,Fold 1,0.007936507936507936
48,7nd6_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,em structure of sars-cov-2 spike glycoprotein in complex with covox-40 fab,7nd6_B,989,Fold 1,0.0028490028490028487
49,6z2m_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,h11-d4  sars-cov-2 rbd  cr3022 ternary complex,6z2m_A,197,Fold 1,0.0021367521367521365
50,7kmi_C,spike protein s1,severe acute respiratory syndrome coronavirus2 ,ly-cov481 neutralizing antibody against sars-cov-2,7kmi_C,196,Fold 1,0.001736111111111111
51,6xbk_AB,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,homo sapiens | homo sapiens,structure of human smo-g111c/i496c complex with gi,6xbk_AB,551,Fold 1,0.02083333333333333
52,4ut6_B,envelope glycoprotein e,dengue virus 2,crystal structure of dengue 2 virus envelope glycoprotein in complex with the fab fragment of the broadly neutralizing human antibody ede2 b7,4ut6_B,391,Fold 1,0.01282051282051282
53,1xct_MQ,capsid protein c | protein l, | finegoldia magna,complex hcv core-fab 19d9d6-protein l mutant (d55a  l57h  y64w) in space group p21212,1xct_MQ,93,Fold 1,0.1
54,6mb3_E,plasmodium falciparum recombinant shortened csp,plasmodium falciparum,cryo-em structure of the circumsporozoite protein of plasmodium falciparum with a vaccine-elicited antibody reveals maturation of inter-antibody contacts,6mb3_E,90,Fold 1,0.5
55,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
56,3iu3_J,interleukin-2 receptor alpha chain,homo sapiens,crystal structure of the fab fragment of therapeutic antibody basiliximab in complex with il-2ra (cd25) ectodomain,3iu3_J,116,Fold 1,0.0625
57,7czx_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,s protein of sars-cov-2 in complex bound with p5a-1b9,7czx_B,1006,Fold 1,0.003968253968253968
58,7k43_B,sars-cov-2 spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 spike in complex with the s2m11 neutralizing antibody fab fragment,7k43_B,1034,Fold 1,0.00308641975308642
59,6ur5_C,influenza hemagglutinin ha1,influenza a virus,resurfaced influenza hemagglutinin in complex with a broadly neutralizing antibody,6ur5_C,264,Fold 1,0.25
60,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
61,7nx7_E,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of the k417n mutant receptor binding domain of sars- cov-2 spike glycoprotein in complex with covox-222 and ey6a fabs,7nx7_E,193,Fold 1,0.003472222222222222
62,3iu3_K,interleukin-2 receptor alpha chain,homo sapiens,crystal structure of the fab fragment of therapeutic antibody basiliximab in complex with il-2ra (cd25) ectodomain,3iu3_K,114,Fold 1,0.0625
63,6wty_G,reticulocyte binding protein 2b,plasmodium vivax (strain salvador i),plasmodium vivax reticulocyte binding protein 2b (pvrbp2b) bound to human monoclonal antibody 253245,6wty_G,290,Fold 1,0.011904761904761904
64,6zdg_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,association of three complexes of largely structurally disordered spike ectodomain with bound ey6a fab,6zdg_A,194,Fold 1,0.000512295081967213
65,7nd7_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,em structure of sars-cov-2 spike glycoprotein in complex with covox- 316 fab,7nd7_A,1002,Fold 1,0.0006613756613756612
66,7cws_R,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 spike proteins trimer in complex with fc05 and h014 fabs cocktail,7cws_R,1076,Fold 1,0.001736111111111111
67,4uao_A,apical merozoite antigen 1,plasmodium knowlesi,crystal structure of apical membrane antigen 1 from plasmodium knowlesi in complex with an invasion inhibitory antibody,4uao_A,332,Fold 1,1.0
68,4f3f_C,mesothelin,homo sapiens,crystal structure of msln7-64 morab-009 fab complex,4f3f_C,59,Fold 1,1.0
69,7ndc_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,em structure of sars-cov-2 spike glycoprotein (all rbd down) in complex with covox-159,7ndc_B,1063,Fold 1,0.0011574074074074071
70,7bud_B,dengue virus serotype 2 e protein,dengue virus 2,cryo-em structure of dengue virus serotype 2 complexed with fab sign- 3c at ph 8.0,7bud_B,495,Fold 1,0.01282051282051282
71,7czu_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,s protein of sars-cov-2 in complex bound with p5a-1b6_2b,7czu_A,1006,Fold 1,0.000496031746031746
72,4z5r_F,interferon alpha-2,homo sapiens,rontalizumab fab bound to interferon-a2,4z5r_F,140,Fold 1,0.0625
73,6bae_CE,immunoglobulin g binding protein a | protein l,staphylococcus aureus | finegoldia magna,trastuzumab fab v3 in complex with cqfdlstrrlkc,6bae_CE,117,Fold 1,0.14285714285714285
74,5jym_C,cadherin-3,homo sapiens,human p-cadherin ec12 with scfv tsp11 bound,5jym_C,213,Fold 1,0.25
75,5bo1_A,protein jagged-1,homo sapiens,crystal structure of a human jag1 fragment in complex with an anti- jag1 fab,5bo1_A,150,Fold 1,0.5
76,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
77,7k93_D,non-structural protein 1,dengue virus 2,denv2 ns1 in complex with neutralizing 2b7 single chain fab variable region (scfv),7k93_D,325,Fold 1,0.08333333333333333
78,4jre_D,nitrite extrusion protein 1,escherichia coli,crystal structure of nitrate/nitrite exchanger nark with nitrite bound,4jre_D,402,Fold 1,0.3333333333333333
79,6zdh_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 spike glycoprotein in complex with a neutralizing antibody ey6a fab,6zdh_B,1002,Fold 1,0.0006613756613756612
80,7dpm_C,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of sars-cov-2 spike rbd in complex with mw06 fab,7dpm_C,196,Fold 1,0.000512295081967213
81,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
82,3ks0_B,cytochrome b2  mitochondrial,saccharomyces cerevisiae,crystal structure of the heme domain of flavocytochrome b2 in complex with fab b2b4,3ks0_B,92,Fold 1,0.5
83,6wty_J,reticulocyte binding protein 2b,plasmodium vivax (strain salvador i),plasmodium vivax reticulocyte binding protein 2b (pvrbp2b) bound to human monoclonal antibody 253245,6wty_J,289,Fold 1,0.011904761904761904
84,4mwf_D,envelope glycoprotein e2,hepatitis c virus (isolate h),structure of hepatitis c virus envelope glycoprotein e2 core bound to broadly neutralizing antibody ar3c,4mwf_D,171,Fold 1,0.08333333333333333
85,5bjz_B,maltose-binding periplasmic protein,escherichia coli o157,crystal structure of maltose binding protein in complex with an allosteric synthetic antibody,5bjz_B,365,Fold 1,0.0625
86,7k8s_C,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,structure of the sars-cov-2 s 2p trimer in complex with the human neutralizing antibody fab fragment  c002 (state 1),7k8s_C,1004,Fold 1,0.002645502645502645
87,4xmn_E,nucleoporin nup120,saccharomyces cerevisiae (strain atcc 204508 /s288c) ,structure of the yeast coat nucleoporin complex  space group p212121,4xmn_E,896,Fold 1,1.0
88,7cws_Q,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 spike proteins trimer in complex with fc05 and h014 fabs cocktail,7cws_Q,1076,Fold 1,0.001736111111111111
89,6x3z_B,gamma-aminobutyric acid receptor subunit alpha-1,homo sapiens,human gabaa receptor alpha1-beta2-gamma2 subtype in complex with gaba,6x3z_B,338,Fold 1,0.05
90,6xkq_A,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of sars-cov-2 receptor binding domain in complex with neutralizing antibody cv07-250,6xkq_A,149,Fold 1,1.0
91,5ggv_Y,cytotoxic t-lymphocyte protein 4,homo sapiens,ctla-4 in complex with tremelimumab fab,5ggv_Y,119,Fold 1,0.06666666666666668
92,2vh5_R,gtpase hras,homo sapiens,crystal structure of hras(g12v) - anti-ras fv (disulfide free mutant) complex,2vh5_R,166,Fold 1,0.5
93,4kxz_E,transforming growth factor beta-2,homo sapiens,crystal structure of tgfb2 in complex with gc2008.,4kxz_E,112,Fold 1,0.125
94,6p95_Aa,unknown | pre-glycoprotein polyprotein gp complex,lassa virus (strain mouse/sierraleone/josiah/1976)  | lassa virus,structure of lassa virus glycoprotein in complex with fab 25.6a,6p95_Aa,341,Fold 1,0.25
95,7chz_I,interleukin-1 beta,homo sapiens,crystal structure of human il-1beta in complex with antibody binding fragment of igg26a,7chz_I,151,Fold 1,0.00308641975308642
96,7nxa_E,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of the receptor binding domain of sars-cov-2 b.1.351 variant spike glycoprotein in complex with covox-222 and ey6a fabs,7nxa_E,193,Fold 1,0.003472222222222222
97,4cmh_A,adp-ribosyl cyclase 1,homo sapiens,crystal structure of cd38 with a novel cd38-targeting antibody sar650984,4cmh_A,240,Fold 1,0.3333333333333333
98,6k68_E,protein a,staphylococcus aureus,application of anti-helix antibodies in protein structure determination (8420-3mnz),6k68_E,50,Fold 1,0.125
99,7k43_E,sars-cov-2 spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 spike in complex with the s2m11 neutralizing antibody fab fragment,7k43_E,1034,Fold 1,0.00308641975308642
100,6dde_AB,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,homo sapiens | homo sapiens,mu opioid receptor-gi protein complex,6dde_AB,553,Fold 1,0.017857142857142856
101,6usf_D,chimera of soluble cytochrome b562 (bril) and neuronalacetylcholine receptor subunit alpha-4 ,"homo sapiens, escherichia coli",cryoem structure of human alpha4beta2 nicotinic acetylcholine receptor with varenicline in complex with anti-bril synthetic antibody bak5,6usf_D,464,Fold 1,0.3333333333333333
102,7kn6_A,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of sars-cov-2 receptor binding domain complexed with nanobody vhh v and antibody fab cc12.3,7kn6_A,187,Fold 1,0.0006944444444444446
103,6o41_N,,,crystal structure of the unbound pgzl1 germline fab fragment (pgzl1_gvmdmj),6o41_N,60,Fold 1,1.0
104,7c01_A,sars-cov-2 spike protein s1,severe acute respiratory syndrome coronavirus2 ,molecular basis for a potent human neutralizing antibody targeting sars-cov-2 rbd,7c01_A,195,Fold 1,0.000512295081967213
105,7jn5_F,spike glycoprotein,human sars coronavirus,crystal structure of sars-cov receptor binding domain in complex with human antibody cr3022,7jn5_F,179,Fold 1,0.16666666666666666
106,6x3v_B,gamma-aminobutyric acid receptor subunit alpha-1,homo sapiens,human gabaa receptor alpha1-beta2-gamma2 subtype in complex with gaba plus etomidate,6x3v_B,338,Fold 1,0.05
107,5i5k_A,complement c5,homo sapiens,structure of complement c5 in complex with eculizumab,5i5k_A,1632,Fold 1,0.5
108,3eo1_I,transforming growth factor beta-3,homo sapiens,structure of the fab fragment of gc-1008 in complex with transforming growth factor-beta 3,3eo1_I,112,Fold 1,0.125
109,6x40_D,gamma-aminobutyric acid receptor subunit alpha-1,homo sapiens,human gabaa receptor alpha1-beta2-gamma2 subtype in complex with gaba plus picrotoxin,6x40_D,338,Fold 1,0.05
110,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
111,7a5s_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,complex of sars-cov-2 spike and cr3022 fab (homogeneous refinement),7a5s_A,624,Fold 1,0.000512295081967213
112,6crk_ABG,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2 ,homo sapiens | homo sapiens | homo sapiens,heterotrimeric g-protein in complex with an antibody fragment,6crk_ABG,744,Fold 1,0.25
113,7k8w_G,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,structure of the sars-cov-2 s 2p trimer in complex with the human neutralizing antibody fab fragment  c119,7k8w_G,990,Fold 1,0.004273504273504273
114,6wty_A,reticulocyte binding protein 2b,plasmodium vivax (strain salvador i),plasmodium vivax reticulocyte binding protein 2b (pvrbp2b) bound to human monoclonal antibody 253245,6wty_A,293,Fold 1,0.011904761904761904
115,6mwv_J,e2,eastern equine encephalitis virus,cryoem structure of chimeric eastern equine encephalitis virus with fab of eeev-58 antibody,6mwv_J,325,Fold 1,0.025
116,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
117,5xku_A,influenza a virus,influenza a virus,crystal structure of hemagglutinin globular head from an h7n9 influenza virus in complex with a neutralizing antibody hnigga6,5xku_A,208,Fold 1,0.038461538461538464
118,7a5r_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,complex of sars-cov-2 spike and cr3022 fab (non-uniform refinement),7a5r_B,264,Fold 1,0.001736111111111111
119,5tr1_B,chloride channel protein,bos taurus,cryo-electron microscopy structure of a bovine clc-k chloride channel  alternate (class 2) conformation,5tr1_B,606,Fold 1,0.25
120,6vms_AB,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,rattus norvegicus | homo sapiens,structure of a d2 dopamine receptor-g-protein complex in a lipid membrane,6vms_AB,566,Fold 1,0.03571428571428571
121,6yla_E,sars-cov-2 rbd,severe acute respiratory syndrome coronavirus2 ,crystal structure of the sars-cov-2 receptor binding domain in complex with cr3022 fab,6yla_E,203,Fold 1,0.007936507936507936
122,4g80_I,voltage-sensor containing phosphatase,ciona intestinalis,crystal structure of voltage sensing domain of ci-vsp with fragment antibody (wt  3.8 a),4g80_I,139,Fold 1,0.125
123,5tq0_AB,nmda glutamate receptor subunit | glutamate receptor ionotropic  nmda 2a,xenopus laevis | rattus norvegicus,crystal structure of amino terminal domains of the nmda receptor subunit glun1 and glun2a in the presence of edta,5tq0_AB,702,Fold 1,0.3333333333333333
124,4aei_A,alpha-mammal toxin aah2,androctonus australis hector,crystal structure of the aahii-fab4c1 complex,4aei_A,64,Fold 1,0.3333333333333333
125,7k8s_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,structure of the sars-cov-2 s 2p trimer in complex with the human neutralizing antibody fab fragment  c002 (state 1),7k8s_B,1004,Fold 1,0.002645502645502645
126,7jva_A,sars-cov-2 spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,sars-cov-2 spike in complex with the s2a4 neutralizing antibody fab fragment (local refinement of the receptor-binding domain and fab variable domains),7jva_A,193,Fold 1,0.003472222222222222
127,6xc7_A,spike protein s1,severe acute respiratory syndrome coronavirus2 ,crystal structure of sars-cov-2 receptor binding domain in complex with antibodies cc12.3 and cr3022,6xc7_A,193,Fold 1,0.0006944444444444446
128,5i73_A,sodium-dependent serotonin transporter,homo sapiens,x-ray structure of the ts3 human serotonin transporter complexed with s-citalopram at the central and allosteric sites,5i73_A,540,Fold 1,0.05
129,4ut9_D,envelope glycoprotein e,dengue virus 2,crystal structure of dengue 2 virus envelope glycoprotein dimer in complex with the scfv fragment of the broadly neutralizing human antibody ede1 c10,4ut9_D,380,Fold 1,0.02564102564102564
130,6xdg_E,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,complex of sars-cov-2 receptor binding domain with the fab fragments of two neutralizing antibodies,6xdg_E,194,Fold 1,0.000512295081967213
131,1ncb_N,influenza a subtype n9 neuraminidase,influenza a virus,crystal structures of two mutant neuraminidase-antibody complexes with amino acid substitutions in the interface,1ncb_N,389,Fold 1,0.1
132,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
133,3nfp_I,interleukin-2 receptor subunit alpha,homo sapiens,crystal structure of the fab fragment of therapeutic antibody daclizumab in complex with il-2ra (cd25) ectodomain,3nfp_I,124,Fold 1,0.0625
134,7ls9_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of neutralizing antibody 1-57 in complex with prefusion sars-cov-2 spike glycoprotein,7ls9_A,1097,Fold 1,0.010416666666666666
135,7kfv_E,surface glycoprotein,severe acute respiratory syndrome coronavirus2 ,structural basis for a germline-biased antibody response to sars-cov-2 (rbd:c1a-b12 fab),7kfv_E,195,Fold 1,0.000512295081967213
136,7chf_R,sars-cov-2 receptor binding domain,severe acute respiratory syndrome coronavirus2 ,crystal structure of the sars-cov-2 rbd in complex with bd-604 fab and bd-368-2 fab,7chf_R,189,Fold 1,0.0006944444444444446
137,5kqv_F,insulin receptor insulin receptor,homo sapiens,insulin receptor ectodomain construct comprising domains l1 cr l2  fniii-1 and alphact peptide in complex with bovine insulin and fab 83-14 (revised structure),5kqv_F,592,Fold 1,0.08333333333333333
138,6mwv_N,e2,eastern equine encephalitis virus,cryoem structure of chimeric eastern equine encephalitis virus with fab of eeev-58 antibody,6mwv_N,325,Fold 1,0.025
139,7d0d_A,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,s protein of sars-cov-2 in complex bound with p5a-3c12_2b,7d0d_A,1004,Fold 1,0.0006105006105006105
140,2kh2_A,interleukin-1 beta,homo sapiens,solution structure of a scfv-il-1b complex,2kh2_A,153,Fold 1,0.00308641975308642
141,6ii8_E,hemagglutinin,influenza a virus,crystal structure of h7 hemagglutinin from a/anhui/1/2013 in complex with a human neutralizing antibody l4b-18,6ii8_E,316,Fold 1,0.038461538461538464
142,4z5r_X,interferon alpha-2,homo sapiens,rontalizumab fab bound to interferon-a2,4z5r_X,137,Fold 1,0.0625
143,7kq7_B,interleukin-21 receptor,homo sapiens,crystal structure of il21r in complex with an antibody fab fragment,7kq7_B,208,Fold 1,1.0
144,7chc_R,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,crystal structure of the sars-cov-2 s rbd in complex with bd-629 fab and bd-368-2 fab,7chc_R,183,Fold 1,0.000512295081967213
145,7nd5_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,em structure of sars-cov-2 spike glycoprotein in complex with covox- 150 fab,7nd5_B,989,Fold 1,0.0028490028490028487
146,7l2e_B,spike glycoprotein,severe acute respiratory syndrome coronavirus2 ,cryo-em structure of ntd-directed neutralizing antibody 4-18 in complex with prefusion sars-cov-2 spike glycoprotein,7l2e_B,1119,Fold 1,0.010416666666666666
147,7l0n_S,spike protein s1,severe acute respiratory syndrome coronavirus2 ,circulating sars-cov-2 spike n439k variants maintain fitness while evading antibody-mediated immunity,7l0n_S,201,Fold 1,0.003472222222222222
